# Time(s)	Traffic(Mbps)
15.57	797.272
15.58	797.272
15.59	797.272
15.6	797.272
15.61	797.272
15.62	797.272
15.63	797.272
15.64	797.272
15.65	797.272
15.66	797.272
15.67	797.272
15.68	797.272
15.69	797.272
15.7	797.272
15.71	797.272
15.72	797.272
15.73	797.272
15.74	797.272
15.75	797.272
15.76	797.272
15.77	797.272
15.78	797.272
15.79	797.272
15.8	797.272
15.81	797.272
15.82	797.272
15.83	797.272
15.84	797.272
15.85	797.272
15.86	797.272
15.87	797.272
15.88	797.272
15.89	797.272
15.9	797.272
15.91	797.272
15.92	797.272
15.93	797.272
15.94	797.272
15.95	797.272
15.96	797.272
15.97	797.272
15.98	797.272
15.99	797.272
16	797.272
16.01	797.272
16.02	797.272
16.03	797.272
16.04	797.272
16.05	797.272
16.06	797.272
16.07	797.272
16.08	797.272
16.09	797.272
16.1	797.272
16.11	797.272
16.12	797.272
16.13	797.272
16.14	797.272
16.15	797.272
16.16	797.272
16.17	797.272
16.18	797.272
16.19	797.272
16.2	797.272
16.21	797.272
16.22	797.272
16.23	797.272
16.24	797.272
16.25	797.272
16.26	797.272
16.27	797.272
16.28	797.272
16.29	797.272
16.3	797.272
16.31	797.272
16.32	797.272
16.33	797.272
16.34	797.272
16.35	797.272
16.36	797.272
16.37	797.272
16.38	797.272
16.39	797.272
16.4	797.272
16.41	797.272
16.42	797.272
16.43	797.272
16.44	797.272
16.45	797.272
16.46	797.272
16.47	797.272
16.48	797.272
16.49	797.272
16.5	797.272
16.51	797.272
16.52	797.272
16.53	797.272
16.54	797.272
16.55	797.272
16.56	797.272
16.57	797.272
16.58	797.272
16.59	797.272
16.6	797.272
16.61	797.272
16.62	797.272
16.63	797.272
16.64	797.272
16.65	797.272
16.66	797.272
16.67	797.272
16.68	797.272
16.69	797.272
16.7	797.272
16.71	797.272
16.72	797.272
16.73	797.272
16.74	797.272
16.75	797.272
16.76	797.272
16.77	797.272
16.78	797.272
16.79	797.272
16.8	797.272
16.81	797.272
16.82	797.272
16.83	797.272
16.84	797.272
16.85	797.272
16.86	797.272
16.87	797.272
16.88	797.272
16.89	797.272
16.9	797.272
16.91	797.272
16.92	797.272
16.93	797.272
16.94	797.272
16.95	797.272
16.96	797.272
16.97	797.272
16.98	797.272
16.99	797.272
17	797.272
17.01	797.272
17.02	797.272
17.03	797.272
17.04	797.272
17.05	797.272
17.06	797.272
17.07	797.272
17.08	797.272
17.09	797.272
17.1	797.272
17.11	797.272
17.12	797.272
17.13	797.272
17.14	797.272
17.15	797.272
17.16	797.272
17.17	797.272
17.18	797.272
17.19	797.272
17.2	797.272
17.21	797.272
17.22	797.272
17.23	797.272
17.24	797.272
17.25	797.272
17.26	797.272
17.27	797.272
17.28	797.272
17.29	797.272
17.3	797.272
17.31	797.272
17.32	797.272
17.33	797.272
17.34	797.272
17.35	797.272
17.36	797.272
17.37	797.272
17.38	797.272
17.39	797.272
17.4	797.272
17.41	797.272
17.42	797.272
17.43	797.272
17.44	797.272
17.45	797.272
17.46	797.272
17.47	797.272
17.48	797.272
17.49	797.272
17.5	797.272
17.51	797.272
17.52	797.272
17.53	797.272
17.54	797.272
17.55	797.272
17.56	797.272
17.57	797.272
17.58	797.272
17.59	797.272
17.6	797.272
17.61	797.272
17.62	797.272
17.63	797.272
17.64	797.272
17.65	797.272
17.66	797.272
17.67	797.272
17.68	797.272
17.69	797.272
17.7	797.272
17.71	797.272
17.72	797.272
17.73	797.272
17.74	797.272
17.75	797.272
17.76	797.272
17.77	797.272
17.78	797.272
17.79	797.272
17.8	797.272
17.81	797.272
